API Name,Method,Endpoint,Purpose,Auth Required,Request Fields,Response Fields,Frontend Impact
Login API,POST,/api/v1/auth/login,User login,Yes,"email, password","token, user details",Frontend: Login Screen
Send OTP,POST,/api/customer/sendOtp,"Sends a One-Time Password (OTP) via SMS (and optionally email) for verification during signup, login, or password reset.",No,"{
  ""email"": ""test123@gmail.com"",
  ""mobile"": ""6777778888"",
  ""path"": ""signUp""
}
","{
  ""success"": true,
  ""message"": ""OTP sent successfully via SMS"",
  ""smsLogId"": {
    ""message"": ""Your Lunch Bowl OTP is 1752. It is valid for 10 minutes. Do not share this with anyone.\n\nEarth Tech Concepts Pvt Ltd"",
    ""templateId"": ""1607100000000356197"",
    ""status"": ""sent"",
    ""variables"": [
      ""1752""
    ],
    ""_id"": ""6911cc753834f882548cde14"",
    ""mobile"": ""6777778888"",
    ""messageType"": ""OTP"",
    ""messageId"": ""100 - Msg successfully sent. MsgID#7944465"",
    ""sentAt"": ""2025-11-10T11:28:53.444Z"",
    ""createdAt"": ""2025-11-10T11:28:53.454Z"",
    ""updatedAt"": ""2025-11-10T11:28:53.454Z"",
    ""__v"": 0
  },
  ""expiresAt"": ""2025-11-10T11:30:52.419Z""
}
",
Verify OTP,POST,/api/customer/verifyOtp,Verifies the OTP entered by the user for login or signup and returns a JWT token upon successful verification.,No,"json { ""mobile"": ""6777778888"", ""otp"": ""3859"", ""path"": ""logIn-otp"" }","json { ""success"": true, ""token"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2OTExZDAzNjM4MzRmODgyNTQ4Y2RlMWYiLCJuYW1lIjoiVGVzdCBhcGkiLCJlbWFpbCI6InRlc3QxMjNAZ21haWwuY29tIiwiaWF0IjoxNzYyNzc4MjkyLCJleHAiOjE3NjI4NjQ2OTJ9.F3tEKA4GDObER11iJbRX44Ynvk5X8ES7hmsAPn_gK2s"", ""_id"": ""6911d0363834f882548cde1f"", ""name"": ""Test api"", ""email"": ""test123@gmail.com"", ""phone"": ""6777778888"", ""freeTrial"": false, ""message"": ""Log in successful!"" }",
Send OTP (Login),POST,/api/customer/sendOtp,Sends a one-time password (OTP) to the user’s mobile number during login.,No,"json { ""mobile"": ""6777778888"", ""path"": ""logIn"" }","json { ""success"": true, ""message"": ""OTP sent successfully via SMS"", ""smsLogId"": { ""message"": ""Your Lunch Bowl OTP is 3859. It is valid for 10 minutes. Do not share this with anyone.\n\nEarth Tech Concepts Pvt Ltd"", ""templateId"": ""1607100000000356197"", ""status"": ""sent"", ""variables"": [ ""3859"" ], ""_id"": ""6911dc9f3834f882548cde52"", ""mobile"": ""6777778888"", ""messageType"": ""OTP"", ""messageId"": ""100 - Msg successfully sent. MsgID#7946755"", ""sentAt"": ""2025-11-10T12:37:51.997Z"", ""createdAt"": ""2025-11-10T12:37:51.998Z"", ""updatedAt"": ""2025-11-10T12:37:51.998Z"", ""__v"": 0 }, ""expiresAt"": ""2025-11-10T12:39:51.564Z"" }",
Step Form — Parent Details,POST,/api/customer/stepForm-Register,Saves the parent details for step 1 of the step form registration process.,Yes (Token required after OTP verification),"json { ""path"": ""step-Form-ParentDetails"", ""step"": 1, ""_id"": ""6911d0363834f882548cde1f"" }","json { ""success"": true, ""data"": { ""parentDetails"": { ""country"": ""India"", ""fatherFirstName"": ""sdfg"", ""fatherLastName"": ""g"", ""motherFirstName"": ""dfghj"", ""motherLastName"": ""h"", ""mobile"": ""6777778888"", ""email"": ""test123@gmail.com"", ""address"": ""123,dfg,sdfg"", ""pincode"": ""600001"", ""city"": ""sdfgh"", ""state"": ""dfgh"" }, ""step"": 1, ""subscriptions"": [], ""subscriptionCount"": 0, ""_id"": ""6911dde4a3aa593f2e79e550"", ""user"": ""6911d0363834f882548cde1f"", ""__v"": 0 } }",
Step Form — Child Details,POST,/api/customer/stepForm-Register,Saves the child details for step 2 of the step form registration process.,✅ Yes (Token required after OTP verification),"json { ""path"": ""step-Form-ChildDetails"", ""st{
    ""formData"": [
        {
            ""childFirstName"": ""dergth"",
            ""childLastName"": ""sdf"",
            ""dob"": ""2025-10-27"",
            ""lunchTime"": ""11:00 AM - 12:00 PM"",
            ""school"": ""ST Francis Xavier English Medium Matriculation School"",
            ""location"": ""Alwarpet"",
            ""childClass"": ""Class 2"",
            ""section"": ""F"",
            ""allergies"": """"
        }
    ],
    ""step"": 2,
    ""path"": ""step-Form-ChildDetails"",
    ""_id"": ""6912df64a3bfaeee7dbb5858""
}ep"": 2, ""_id"": ""6911d0363834f882548cde1f"" }","json { ""success"": true, ""data"": [ ""6911de713834f882548cde82"" ] }",
Get All Schools,GET,/api/schools/get-all-schools,"Fetches the complete list of schools with their names, locations, and lunch times.",❌ No,json {},"json [ { ""_id"": ""6894a43fa9f6385c5e4113da"", ""name"": ""DAV Girls Senior Secondary School"", ""location"": ""Gopalapuram"", ""lunchTime"": ""13:00"", ""createdAt"": ""2025-08-07T13:03:59.339Z"", ""updatedAt"": ""2025-08-07T13:03:59.339Z"", ""__v"": 0 }, { ""_id"": ""6894a46da9f6385c5e4113df"", ""name"": ""Don Bosco School of excellence"", ""location"": ""Egmore"", ""lunchTime"": ""13:00"", ""createdAt"": ""2025-08-07T13:04:45.601Z"", ""updatedAt"": ""2025-08-07T13:04:45.601Z"", ""__v"": 0 }, { ""_id"": ""6894a489a9f6385c5e4113e2"", ""name"": ""Don Bosco Matriculation Higher secondary School"", ""location"": ""Egmore"", ""lunchTime"": ""13:00"", ""createdAt"": ""2025-08-07T13:05:13.349Z"", ""updatedAt"": ""2025-08-07T13:05:13.349Z"", ""__v"": 0 }, { ""_id"": ""6894a584a9f6385c5e41140b"", ""name"": ""Bhavans Rajaji Vidyashram"", ""location"": ""Kilpauk"", ""lunchTime"": ""13:00"", ""createdAt"": ""2025-08-07T13:09:24.251Z"", ""updatedAt"": ""2025-08-07T13:09:24.251Z"", ""__v"": 0 } ... ]",
,,,,,,,
Get All Schools,GET,/api/schools/get-all-schools,"Fetches the complete list of schools with their names, locations, and lunch times.",❌ No,json {},"json [ { ""_id"": ""6894a43fa9f6385c5e4113da"", ""name"": ""DAV Girls Senior Secondary School"", ""location"": ""Gopalapuram"", ""lunchTime"": ""13:00"", ""createdAt"": ""2025-08-07T13:03:59.339Z"", ""updatedAt"": ""2025-08-07T13:03:59.339Z"", ""__v"": 0 }, { ""_id"": ""6894a46da9f6385c5e4113df"", ""name"": ""Don Bosco School of excellence"", ""location"": ""Egmore"", ""lunchTime"": ""13:00"", ""createdAt"": ""2025-08-07T13:04:45.601Z"", ""updatedAt"": ""2025-08-07T13:04:45.601Z"", ""__v"": 0 }, { ""_id"": ""6894a489a9f6385c5e4113e2"", ""name"": ""Don Bosco Matriculation Higher secondary School"", ""location"": ""Egmore"", ""lunchTime"": ""13:00"", ""createdAt"": ""2025-08-07T13:05:13.349Z"", ""updatedAt"": ""2025-08-07T13:05:13.349Z"", ""__v"": 0 }, { ""_id"": ""6894a584a9f6385c5e41140b"", ""name"": ""Bhavans Rajaji Vidyashram"", ""location"": ""Kilpauk"", ""lunchTime"": ""13:00"", ""createdAt"": ""2025-08-07T13:09:24.251Z"", ""updatedAt"": ""2025-08-07T13:09:24.251Z"", ""__v"": 0 } ... ]",
,,,,,,,
